datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
09-08-2022,"23,26,36,40,44","5,10","342,711","11,409,432"
12-08-2022,"14,32,34,38,46","2,5","713,853","21,975,847"
16-08-2022,"4,17,32,34,49","4,9","319,382","9,277,978"
19-08-2022,"4,13,32,39,41","6,8","610,452","18,940,050"
23-08-2022,"2,9,18,21,39","4,10","286,556","8,882,731"
26-08-2022,"2,6,18,29,37","10,12","457,297","18,381,623"
30-08-2022,"18,27,41,45,49","7,9","304,922","9,561,823"
02-09-2022,"2,5,11,22,24","7,12","553,251","17,780,128"
06-09-2022,"6,10,11,20,38","3,9","331,858","9,224,326"
09-09-2022,"9,18,26,41,43","4,9","638,520","18,715,706"
13-09-2022,"20,22,26,34,40","8,12","233,834","8,860,171"
16-09-2022,"16,25,27,41,45","3,9","605,593","18,089,785"
20-09-2022,"2,13,22,36,40","3,5","325,422","9,479,964"
23-09-2022,"20,30,38,39,44","2,12","448,570","19,022,397"
27-09-2022,"15,23,26,31,44","1,8","331,597","10,511,297"
30-09-2022,"8,12,15,17,46","1,8","708,521","20,589,550"
04-10-2022,"17,42,43,48,49","3,7","373,722","11,101,556"
07-10-2022,"16,17,26,30,35","3,9","749,872","21,828,413"
11-10-2022,"7,35,36,39,47","3,8","443,412","12,930,976"
14-10-2022,"3,5,8,10,44","7,12","726,701","24,332,827"
18-10-2022,"13,18,24,34,50","5,6","508,781","15,105,315"
21-10-2022,"2,11,18,47,49","2,7","992,399","28,044,195"
25-10-2022,"17,26,35,37,39","3,4","671,718","19,513,724"
28-10-2022,"4,5,21,30,43","5,11","1,075,513","37,800,553"
01-11-2022,"18,32,39,42,44","4,7","915,923","27,427,217"
04-11-2022,"7,9,40,48,49","7,8","1,610,525","48,868,528"
08-11-2022,"15,17,23,35,38","4,9","1,323,980","36,111,784"
11-11-2022,"11,15,24,28,41","3,12","620,530","22,076,799"
15-11-2022,"1,7,11,33,48","9,12","341,991","11,815,804"
18-11-2022,"13,14,25,28,42","11,12","469,943","20,818,743"
22-11-2022,"11,20,23,37,46","9,11","346,580","12,147,193"
25-11-2022,"4,6,8,42,48","6,11","576,035","21,694,254"
29-11-2022,"9,16,32,37,46","7,12","359,878","13,092,329"
02-12-2022,"6,12,25,48,49","11,12","544,514","23,686,217"
06-12-2022,"8,12,37,44,47","7,10","466,810","14,628,470"
09-12-2022,"6,8,13,21,32","3,6","979,694","26,022,189"
13-12-2022,"3,13,33,36,47","3,11","355,489","10,829,805"
16-12-2022,"9,14,15,20,47","8,12","505,903","19,461,256"
20-12-2022,"6,11,26,43,49","5,8","414,759","11,672,858"
23-12-2022,"9,34,35,42,44","6,11","499,167","20,090,353"
27-12-2022,"28,33,34,37,44","4,11","291,466","10,283,256"
30-12-2022,"3,37,45,47,50","5,10","645,433","22,213,241"
03-01-2023,"28,29,31,37,50","4,5","363,552","12,207,645"
06-01-2023,"14,28,31,47,50","7,12","530,179","20,426,630"
10-01-2023,"9,16,27,41,45","1,4","391,350","12,906,298"
13-01-2023,"7,14,34,41,49","4,9","863,506","25,065,615"
17-01-2023,"6,11,16,35,44","2,6","500,213","15,003,369"
20-01-2023,"1,12,15,31,47","9,10","797,533","27,170,381"
24-01-2023,"9,16,17,27,31","1,9","603,569","18,472,320"
27-01-2023,"4,9,29,34,37","3,12","963,537","32,812,854"
31-01-2023,"20,21,30,41,43","10,11","686,305","26,674,558"
03-02-2023,"1,7,17,44,50","2,10","660,366","20,709,298"
07-02-2023,"10,15,25,37,46","7,12","333,674","11,659,627"
10-02-2023,"3,10,20,36,42","8,10","638,633","20,791,597"
14-02-2023,"1,2,6,14,45","2,7","448,519","13,018,994"
17-02-2023,"5,12,15,21,39","3,4","814,409","22,030,764"
21-02-2023,"13,20,34,38,43","3,6","358,128","10,669,562"
24-02-2023,"1,5,12,18,20","6,7","679,741","18,472,260"
28-02-2023,"6,20,27,38,49","3,9","386,363","11,099,857"
03-03-2023,"1,18,37,46,48","3,7","689,024","20,245,542"
07-03-2023,"4,11,12,16,42","3,5","437,771","12,163,247"
10-03-2023,"6,17,22,39,46","5,12","578,164","21,271,317"
14-03-2023,"9,16,32,34,48","2,6","410,553","12,991,273"
17-03-2023,"5,18,21,29,45","1,6","703,297","22,503,335"
21-03-2023,"8,13,16,44,47","6,8","487,172","14,244,873"
24-03-2023,"6,21,23,26,43","3,9","887,367","24,353,534"
28-03-2023,"6,12,36,37,44","1,11","447,387","16,463,366"
31-03-2023,"10,11,31,37,44","5,12","501,471","18,760,185"
04-04-2023,"1,15,19,24,33","7,8","393,066","10,797,664"
07-04-2023,"16,28,32,36,48","5,10","565,456","18,304,865"
11-04-2023,"5,19,33,37,42","7,9","377,113","10,729,629"
14-04-2023,"7,11,20,21,29","6,11","603,236","19,958,148"
18-04-2023,"16,28,31,35,42","2,10","365,817","12,401,916"
21-04-2023,"5,13,16,41,45","3,6","704,892","20,705,829"
25-04-2023,"12,21,24,28,40","1,3","443,122","13,779,455"
28-04-2023,"4,8,9,30,35","6,7","621,510","18,237,162"
02-05-2023,"11,12,13,23,26","11,12","278,367","10,150,353"
05-05-2023,"17,18,30,33,35","6,8","596,944","17,565,228"
09-05-2023,"6,11,29,34,39","2,3","351,553","10,568,183"
12-05-2023,"10,27,30,32,34","5,8","658,583","18,927,940"
16-05-2023,"28,30,31,45,46","4,8","358,657","11,817,026"
